xVals,yVals
0.5918,0.2414
0.5928,0.2414
0.5937,0.2414
0.5946,0.2414
0.5955,0.2414
0.5965,0.2414
0.5974,0.2414
0.5983,0.2341
0.5993,0.2341
0.6002,0.2341
0.6011,0.2341
0.602,0.2332
0.603,0.225
0.6039,0.225
0.6048,0.225
0.6058,0.225
0.6067,0.225
0.6076,0.225
0.6085,0.225
0.6095,0.225
0.6104,0.2196
0.6113,0.2169
0.6122,0.2169
0.6132,0.2169
0.6141,0.2169
0.615,0.216
0.616,0.2096
0.6169,0.2105
0.6178,0.2105
0.6187,0.2105
0.6197,0.2105
0.6206,0.2105
0.6215,0.2105
0.6224,0.2105
0.6234,0.2033
0.6243,0.2033
0.6252,0.2033
0.6262,0.2033
0.6271,0.2015
0.628,0.1951
0.6289,0.1951
0.6299,0.1951
0.6308,0.1951
0.6317,0.1951
0.6327,0.1951
0.6336,0.1951
0.6345,0.1951
0.6354,0.1951
0.6364,0.1869
0.6373,0.1869
0.6382,0.1869
0.6391,0.1869
0.6401,0.1806
0.641,0.1806
0.6419,0.1806
0.6429,0.1806
0.6438,0.1806
0.6447,0.1806
0.6456,0.1806
0.6466,0.1806
0.6475,0.1806
0.6484,0.1742
0.6494,0.1742
0.6503,0.1742
0.6512,0.1742
0.6521,0.167
0.6531,0.167
0.654,0.167
0.6549,0.167
0.6558,0.167
0.6568,0.167
0.6577,0.167
0.6586,0.167
0.6596,0.167
0.6605,0.1615
0.6614,0.1597
0.6623,0.1597
0.6633,0.1597
0.6642,0.1597
0.6651,0.1534
0.666,0.1534
0.667,0.1534
0.6679,0.1534
0.6688,0.1534
0.6698,0.1534
0.6707,0.1534
0.6716,0.1534
0.6725,0.1534
0.6735,0.1461
0.6744,0.1461
0.6753,0.1461
0.6763,0.1461
0.6772,0.1461
0.6781,0.1388
0.679,0.1388
0.68,0.1388
0.6809,0.1388
0.6818,0.1388
0.6827,0.1388
0.6837,0.1388
0.6846,0.1388
0.6855,0.1334
0.6865,0.1316
0.6874,0.1316
0.6883,0.1316
0.6892,0.1316
0.6902,0.1252
0.6911,0.1252
0.692,0.1252
0.6929,0.1252
0.6939,0.1252
0.6948,0.1252
0.6957,0.1252
0.6967,0.1252
0.6976,0.1207
0.6985,0.1189
0.6994,0.1189
0.7004,0.1189
0.7013,0.1189
0.7022,0.1189
0.7032,0.1125
0.7041,0.1125
0.705,0.1125
0.7059,0.1125
0.7069,0.1125
0.7078,0.1125
0.7087,0.1125
0.7096,0.1125
0.7106,0.108
0.7115,0.1062
0.7124,0.1062
0.7134,0.1062
0.7143,0.1062
0.7152,0.09982
0.7161,0.09982
0.7171,0.09982
0.718,0.09982
0.7189,0.09982
0.7199,0.09982
0.7208,0.09982
0.7217,0.09982
0.7226,0.09982
0.7236,0.09256
0.7245,0.09347
0.7254,0.09347
0.7263,0.09347
0.7273,0.09165
0.7282,0.08893
0.7291,0.08893
0.7301,0.08893
0.731,0.08893
0.7319,0.08893
0.7328,0.08893
0.7338,0.08893
0.7347,0.08893
0.7356,0.08348
0.7365,0.08348
0.7375,0.08348
0.7384,0.08348
0.7393,0.08348
0.7403,0.07985
0.7412,0.07895
0.7421,0.07895
0.743,0.07895
0.744,0.07895
0.7449,0.07895
0.7458,0.07895
0.7468,0.07895
0.7477,0.07895
0.7486,0.07441
0.7495,0.07441
0.7505,0.07441
0.7514,0.07441
0.7523,0.07441
0.7532,0.06987
0.7542,0.06987
0.7551,0.06987
0.756,0.06987
0.757,0.06987
0.7579,0.06987
0.7588,0.06987
0.7597,0.06987
0.7607,0.06624
0.7616,0.06443
0.7625,0.06443
0.7635,0.06443
0.7644,0.06443
0.7653,0.05898
0.7662,0.05898
0.7672,0.05898
0.7681,0.05898
0.769,0.05898
0.7699,0.05898
0.7709,0.05898
0.7718,0.05898
0.7727,0.05898
0.7737,0.05354
0.7746,0.05354
0.7755,0.05354
0.7764,0.05354
0.7774,0.05354
0.7783,0.04991
0.7792,0.04991
0.7801,0.04991
0.7811,0.04991
0.782,0.04991
0.7829,0.04991
0.7839,0.04991
0.7848,0.04991
0.7857,0.04991
0.7866,0.04628
0.7876,0.04628
0.7885,0.04628
0.7894,0.04628
0.7904,0.04174
0.7913,0.04174
0.7922,0.04174
0.7931,0.04174
0.7941,0.04174
0.795,0.04174
0.7959,0.04174
0.7968,0.04174
0.7978,0.04174
0.7987,0.03811
0.7996,0.03811
0.8006,0.03811
0.8015,0.03811
0.8024,0.03448
0.8033,0.03448
0.8043,0.03358
0.8052,0.03448
0.8061,0.03448
0.8071,0.03448
0.808,0.03448
0.8089,0.03448
0.8098,0.03448
0.8108,0.03176
0.8117,0.03085
0.8126,0.03085
0.8135,0.03085
0.8145,0.03085
0.8154,0.02722
0.8163,0.02722
0.8173,0.02722
0.8182,0.02722
0.8191,0.02722
0.82,0.02722
0.821,0.02722
0.8219,0.02813
0.8228,0.02722
0.8237,0.0245
0.8247,0.0245
0.8256,0.0245
0.8265,0.0245
0.8275,0.0245
0.8284,0.02178
0.8293,0.02178
0.8302,0.02178
0.8312,0.02178
0.8321,0.02178
0.833,0.02178
0.834,0.02178
0.8349,0.02178
0.8358,0.01906
0.8367,0.01906
0.8377,0.01906
0.8386,0.01906
0.8395,0.01815
0.8404,0.01633
0.8414,0.01633
0.8423,0.01633
0.8432,0.01633
0.8442,0.01633
0.8451,0.01633
0.846,0.01633
0.8469,0.01633
0.8479,0.01633
0.8488,0.01361
0.8497,0.01361
0.8506,0.01361
0.8516,0.01361
0.8525,0.0127
0.8534,0.0127
0.8544,0.0127
0.8553,0.0127
0.8562,0.0127
0.8571,0.0127
0.8581,0.0127
0.859,0.0127
0.8599,0.0127
0.8609,0.01089
0.8618,0.01089
0.8627,0.009982
0.8636,0.01089
0.8646,0.01089
0.8655,0.009074
0.8664,0.009074
0.8673,0.009074
0.8683,0.009074
0.8692,0.009074
0.8701,0.009074
0.8711,0.009074
0.872,0.009982
0.8729,0.009074
0.8738,0.008167
0.8748,0.008167
0.8757,0.008167
0.8766,0.008167
0.8776,0.008167
0.8785,0.00726
0.8794,0.00726
0.8803,0.00726
0.8813,0.00726
0.8822,0.00726
0.8831,0.00726
0.884,0.00726
0.885,0.00726
0.8859,0.006352
0.8868,0.006352
0.8878,0.006352
0.8887,0.006352
0.8896,0.006352
0.8905,0.006352
0.8915,0.006352
0.8924,0.006352
0.8933,0.006352
0.8942,0.006352
0.8952,0.006352
0.8961,0.006352
0.897,0.006352
0.898,0.006352
0.8989,0.006352
0.8998,0.006352
0.9007,0.006352
0.9017,0.006352
0.9026,0.006352
0.9035,0.005445
0.9045,0.005445
0.9054,0.005445
0.9063,0.005445
0.9072,0.005445
0.9082,0.005445
0.9091,0.005445
0.91,0.005445
0.9109,0.005445
0.9119,0.005445
0.9128,0.005445
0.9137,0.005445
0.9147,0.005445
0.9156,0.005445
0.9165,0.005445
0.9174,0.005445
0.9184,0.005445
0.9193,0.005445
0.9202,0.005445
0.9212,0.005445
0.9221,0.005445
0.923,0.005445
0.9239,0.004537
0.9249,0.004537
0.9258,0.004537
0.9267,0.004537
0.9276,0.004537
0.9286,0.004537
0.9295,0.004537
0.9304,0.004537
0.9314,0.004537
0.9323,0.004537
0.9332,0.004537
0.9341,0.004537
0.9351,0.004537
0.936,0.004537
0.9369,0.00363
0.9378,0.00363
0.9388,0.00363
0.9397,0.00363
0.9406,0.004537
0.9416,0.004537
0.9425,0.004537
0.9434,0.004537
0.9443,0.004537
0.9453,0.004537
0.9462,0.004537
0.9471,0.004537
0.9481,0.004537
0.949,0.004537
0.9499,0.00363
0.9508,0.00363
0.9518,0.00363
0.9527,0.00363
0.9536,0.00363
0.9545,0.00363
0.9555,0.00363
0.9564,0.00363
0.9573,0.00363
0.9583,0.00363
0.9592,0.00363
0.9601,0.00363
0.961,0.00363
0.962,0.00363
0.9629,0.00363
0.9638,0.00363
0.9647,0.00363
0.9657,0.00363
0.9666,0.00363
0.9675,0.00363
0.9685,0.00363
0.9694,0.00363
0.9703,0.00363
0.9712,0.00363
0.9722,0.00363
0.9731,0.00363
0.974,0.00363
0.975,0.00363
0.9759,0.00363
0.9768,0.00363
0.9777,0.00363
0.9787,0.00363
0.9796,0.00363
0.9805,0.00363
0.9814,0.00363
0.9824,0.00363
0.9833,0.00363
0.9842,0.00363
0.9852,0.00363
0.9861,0.00363
0.987,0.00363
0.9879,0.00363
0.9889,0.00363
0.9898,0.00363
0.9907,0.00363
0.9917,0.00363
0.9926,0.00363
0.9935,0.00363
0.9944,0.00363
0.9954,0.00363
0.9963,0.00363
0.9972,0.00363
0.9981,0.00363
0.9991,0.00363
1,0.00363
