           Idx      m_a / eV    P_a->gamma
           869      0.001493    1.1659e+16
           870      0.001493    1.1659e+16
           871      0.001493    1.1659e+16
           872      0.001493    1.1659e+16
           873      0.001493    1.1659e+16
           874      0.001493    1.1659e+16
           875      0.001493    1.1659e+16
           876      0.001493    1.1659e+16
           877      0.001493    1.1659e+16
           878      0.001493    1.1659e+16
           879      0.001494    1.1659e+16
           880      0.001494    1.1659e+16
           881      0.001494    1.1659e+16
           882      0.001494    1.1659e+16
           883      0.001494    1.1659e+16
           884      0.001494    1.1659e+16
           885      0.001494    1.1659e+16
           886      0.001494    1.1659e+16
           887      0.001494    1.1659e+16
           888      0.001494    1.1659e+16
           889      0.001494    1.1659e+16
           890      0.001494    1.1659e+16
           891      0.001494    1.1659e+16
           892      0.001494    1.1659e+16
           893      0.001494    1.1659e+16
           894      0.001494    1.1659e+16
           895      0.001494    1.1659e+16
           896      0.001494    1.1659e+16
           897      0.001494    1.1659e+16
           898      0.001494    1.1659e+16
           899      0.001494    1.1659e+16
           900      0.001494    1.1659e+16
           901      0.001494    1.1659e+16
           902      0.001494    1.1659e+16
           903      0.001494    1.1659e+16
           904      0.001494    1.1659e+16
           905      0.001494    1.1659e+16
           906      0.001494    1.1659e+16
           907      0.001494    1.1659e+16
           908      0.001494    1.1659e+16
           909      0.001494    1.1659e+16
           910      0.001494    1.1659e+16
           911      0.001494    1.1659e+16
           912      0.001494    1.1659e+16
           913      0.001495    1.1659e+16
           914      0.001495    1.1659e+16
           915      0.001495    1.1659e+16
           916      0.001495    1.1659e+16
           917      0.001495    1.1659e+16
           918      0.001495    1.1659e+16
           919      0.001495    1.1659e+16
           920      0.001495    1.1659e+16
           921      0.001495    1.1659e+16
           922      0.001495    1.1659e+16
           923      0.001495    1.1659e+16
           924      0.001495    1.1659e+16
           925      0.001495    1.1659e+16
           926      0.001495    1.1659e+16
           927      0.001495    1.1659e+16
           928      0.001495    1.1659e+16
           929      0.001495    1.1659e+16
           930      0.001495    1.1659e+16
           931      0.001495    1.1659e+16
           932      0.001495    1.1659e+16
           933      0.001495    1.1659e+16
           934      0.001495    1.1659e+16
           935      0.001495    1.1659e+16
           936      0.001495    1.1659e+16
           937      0.001495    1.1659e+16
           938      0.001495    1.1659e+16
           939      0.001495    1.1659e+16
           940      0.001495    1.1659e+16
           941      0.001495    1.1659e+16
           942      0.001495    1.1659e+16
           943      0.001495    1.1659e+16
           944      0.001495    1.1659e+16
           945      0.001495    1.1659e+16
           946      0.001496    1.1659e+16
           947      0.001496    1.1659e+16
           948      0.001496    1.1659e+16
           949      0.001496    1.1659e+16
           950      0.001496    1.1659e+16
           951      0.001496    1.1659e+16
           952      0.001496    1.1659e+16
           953      0.001496    1.1659e+16
           954      0.001496    1.1659e+16
           955      0.001496    1.1659e+16
           956      0.001496    1.1659e+16
           957      0.001496    1.1659e+16
           958      0.001496    1.1659e+16
           959      0.001496    1.1659e+16
           960      0.001496    1.1659e+16
           961      0.001496    1.1659e+16
           962      0.001496    1.1659e+16
           963      0.001496    1.1659e+16
           964      0.001496    1.1659e+16
           965      0.001496    1.1659e+16
           966      0.001496    1.1659e+16
           967      0.001496    1.1659e+16
           968      0.001496    1.1659e+16
           969      0.001496    1.1659e+16
           970      0.001496    1.1659e+16
           971      0.001496    1.1659e+16
           972      0.001496    1.1659e+16
           973      0.001496    1.1659e+16
           974      0.001496    1.1659e+16
           975      0.001496    1.1659e+16
           976      0.001496    1.1659e+16
           977      0.001496    1.1659e+16
           978      0.001496    1.1659e+16
           979      0.001496    1.1659e+16
           980      0.001497    1.1659e+16
           981      0.001497    1.1659e+16
           982      0.001497    1.1659e+16
           983      0.001497    1.1659e+16
           984      0.001497    1.1659e+16
           985      0.001497    1.1659e+16
           986      0.001497    1.1659e+16
           987      0.001497    1.1659e+16
           988      0.001497    1.1659e+16
           989      0.001497    1.1659e+16
           990      0.001497    1.1659e+16
           991      0.001497    1.1659e+16
           992      0.001497    1.1659e+16
           993      0.001497    1.1659e+16
           994      0.001497    1.1659e+16
           995      0.001497    1.1659e+16
           996      0.001497    1.1659e+16
           997      0.001497    1.1659e+16
           998      0.001497    1.1659e+16
           999      0.001497    1.1659e+16
