           Idx      m_a / eV    P_a->gamma
           198      0.001473    1.1659e+16
           199      0.001473    1.1659e+16
           200      0.001473    1.1659e+16
           201      0.001473    1.1659e+16
           202      0.001473    1.1659e+16
           203      0.001473    1.1659e+16
           204      0.001473    1.1659e+16
           205      0.001474    1.1659e+16
           206      0.001474    1.1659e+16
           207      0.001474    1.1659e+16
           208      0.001474    1.1659e+16
           209      0.001474    1.1659e+16
           210      0.001474    1.1659e+16
           211      0.001474    1.1659e+16
           212      0.001474    1.1659e+16
           213      0.001474    1.1659e+16
           214      0.001474    1.1659e+16
           215      0.001474    1.1659e+16
           216      0.001474    1.1659e+16
           217      0.001474    1.1659e+16
           218      0.001474    1.1659e+16
           219      0.001474    1.1659e+16
           220      0.001474    1.1659e+16
           221      0.001474    1.1659e+16
           222      0.001474    1.1659e+16
           223      0.001474    1.1659e+16
           224      0.001474    1.1659e+16
           225      0.001474    1.1659e+16
           226      0.001474    1.1659e+16
           227      0.001474    1.1659e+16
           228      0.001474    1.1659e+16
           229      0.001474    1.1659e+16
           230      0.001474    1.1659e+16
           231      0.001474    1.1659e+16
           232      0.001474    1.1659e+16
           233      0.001474    1.1659e+16
           234      0.001474    1.1659e+16
           235      0.001474    1.1659e+16
           236      0.001474    1.1659e+16
           237      0.001474    1.1659e+16
           238      0.001474    1.1659e+16
           239      0.001475    1.1659e+16
           240      0.001475    1.1659e+16
           241      0.001475    1.1659e+16
           242      0.001475    1.1659e+16
           243      0.001475    1.1659e+16
           244      0.001475    1.1659e+16
           245      0.001475    1.1659e+16
           246      0.001475    1.1659e+16
           247      0.001475    1.1659e+16
           248      0.001475    1.1659e+16
           249      0.001475    1.1659e+16
           250      0.001475    1.1659e+16
           251      0.001475    1.1659e+16
           252      0.001475    1.1659e+16
           253      0.001475    1.1659e+16
           254      0.001475    1.1659e+16
           255      0.001475    1.1659e+16
           256      0.001475    1.1659e+16
           257      0.001475    1.1659e+16
           258      0.001475    1.1659e+16
           259      0.001475    1.1659e+16
           260      0.001475    1.1659e+16
           261      0.001475    1.1659e+16
           262      0.001475    1.1659e+16
           263      0.001475    1.1659e+16
           264      0.001475    1.1659e+16
           265      0.001475    1.1659e+16
           266      0.001475    1.1659e+16
           267      0.001475    1.1659e+16
           268      0.001475    1.1659e+16
           269      0.001475    1.1659e+16
           270      0.001475    1.1659e+16
           271      0.001475    1.1659e+16
           272      0.001476    1.1659e+16
           273      0.001476    1.1659e+16
           274      0.001476    1.1659e+16
           275      0.001476    1.1659e+16
           276      0.001476    1.1659e+16
           277      0.001476    1.1659e+16
           278      0.001476    1.1659e+16
           279      0.001476    1.1659e+16
           280      0.001476    1.1659e+16
           281      0.001476    1.1659e+16
           282      0.001476    1.1659e+16
           283      0.001476    1.1659e+16
           284      0.001476    1.1659e+16
           285      0.001476    1.1659e+16
           286      0.001476    1.1659e+16
           287      0.001476    1.1659e+16
           288      0.001476    1.1659e+16
           289      0.001476    1.1659e+16
           290      0.001476    1.1659e+16
           291      0.001476    1.1659e+16
           292      0.001476    1.1659e+16
           293      0.001476    1.1659e+16
           294      0.001476    1.1659e+16
           295      0.001476    1.1659e+16
           296      0.001476    1.1659e+16
           297      0.001476    1.1659e+16
           298      0.001476    1.1659e+16
           299      0.001476    1.1659e+16
           300      0.001476    1.1659e+16
           301      0.001476    1.1659e+16
           302      0.001476    1.1659e+16
           303      0.001476    1.1659e+16
           304      0.001476    1.1659e+16
           305      0.001476    1.1659e+16
           306      0.001477    1.1659e+16
           307      0.001477    1.1659e+16
           308      0.001477    1.1659e+16
           309      0.001477    1.1659e+16
           310      0.001477    1.1659e+16
           311      0.001477    1.1659e+16
           312      0.001477    1.1659e+16
           313      0.001477    1.1659e+16
           314      0.001477    1.1659e+16
           315      0.001477    1.1659e+16
           316      0.001477    1.1659e+16
           317      0.001477    1.1659e+16
           318      0.001477    1.1659e+16
           319      0.001477    1.1659e+16
           320      0.001477    1.1659e+16
           321      0.001477    1.1659e+16
           322      0.001477    1.1659e+16
           323      0.001477    1.1659e+16
           324      0.001477    1.1659e+16
           325      0.001477    1.1659e+16
           326      0.001477    1.1659e+16
           327      0.001477    1.1659e+16
           328      0.001477    1.1659e+16
           329      0.001477    1.1659e+16
           330      0.001477    1.1659e+16
           331      0.001477    1.1659e+16
           332      0.001477    1.1659e+16
           333      0.001477    1.1659e+16
           334      0.001477    1.1659e+16
           335      0.001477    1.1659e+16
           336      0.001477    1.1659e+16
           337      0.001477    1.1659e+16
           338      0.001477    1.1659e+16
           339      0.001477    1.1659e+16
           340      0.001478    1.1659e+16
           341      0.001478    1.1659e+16
           342      0.001478    1.1659e+16
           343      0.001478    1.1659e+16
           344      0.001478    1.1659e+16
           345      0.001478    1.1659e+16
           346      0.001478    1.1659e+16
           347      0.001478    1.1659e+16
           348      0.001478    1.1659e+16
           349      0.001478    1.1659e+16
           350      0.001478    1.1659e+16
           351      0.001478    1.1659e+16
           352      0.001478    1.1659e+16
           353      0.001478    1.1659e+16
           354      0.001478    1.1659e+16
           355      0.001478    1.1659e+16
           356      0.001478    1.1659e+16
           357      0.001478    1.1659e+16
           358      0.001478    1.1659e+16
           359      0.001478    1.1659e+16
           360      0.001478    1.1659e+16
           361      0.001478    1.1659e+16
           362      0.001478    1.1659e+16
           363      0.001478    1.1659e+16
           364      0.001478    1.1659e+16
           365      0.001478    1.1659e+16
           366      0.001478    1.1659e+16
           367      0.001478    1.1659e+16
           368      0.001478    1.1659e+16
           369      0.001478    1.1659e+16
           370      0.001478    1.1659e+16
           371      0.001478    1.1659e+16
           372      0.001478    1.1659e+16
           373      0.001479    1.1659e+16
           374      0.001479    1.1659e+16
           375      0.001479    1.1659e+16
           376      0.001479    1.1659e+16
           377      0.001479    1.1659e+16
           378      0.001479    1.1659e+16
