#angle[arcmin],effectiveArea
#extracted from the ESA XMM's X-ray Telescopes PDF. See plots in org/Figs/XMM_Newton for raw
-14,0.4401
-13.98,0.4401
-13.96,0.4409
-13.94,0.4417
-13.92,0.4424
-13.9,0.4432
-13.88,0.4432
-13.86,0.444
-13.84,0.4448
-13.83,0.4456
-13.81,0.4464
-13.79,0.4464
-13.77,0.4471
-13.75,0.4479
-13.73,0.4487
-13.71,0.4495
-13.69,0.4495
-13.68,0.4503
-13.66,0.4511
-13.64,0.4518
-13.62,0.4522
-13.6,0.453
-13.58,0.4534
-13.56,0.4542
-13.54,0.455
-13.52,0.4558
-13.51,0.4561
-13.49,0.4569
-13.47,0.4573
-13.45,0.4581
-13.43,0.4589
-13.41,0.4597
-13.39,0.4601
-13.37,0.4605
-13.36,0.4612
-13.34,0.462
-13.32,0.4628
-13.3,0.4632
-13.28,0.464
-13.26,0.4648
-13.24,0.4652
-13.22,0.4659
-13.2,0.4667
-13.19,0.4671
-13.17,0.4679
-13.15,0.4687
-13.13,0.4695
-13.11,0.4699
-13.09,0.4706
-13.07,0.4714
-13.05,0.4718
-13.04,0.4726
-13.02,0.4734
-13,0.4742
-12.98,0.4745
-12.96,0.4753
-12.94,0.4761
-12.92,0.4765
-12.9,0.4773
-12.88,0.4781
-12.87,0.4789
-12.85,0.4796
-12.83,0.48
-12.81,0.4808
-12.79,0.4812
-12.77,0.482
-12.75,0.4828
-12.73,0.4836
-12.72,0.4843
-12.7,0.4851
-12.68,0.4859
-12.66,0.4863
-12.64,0.4871
-12.62,0.4875
-12.6,0.4883
-12.58,0.489
-12.56,0.4898
-12.55,0.4906
-12.53,0.4914
-12.51,0.4922
-12.49,0.493
-12.47,0.4933
-12.45,0.4937
-12.43,0.4945
-12.41,0.4953
-12.4,0.4961
-12.38,0.4969
-12.36,0.4977
-12.34,0.4984
-12.32,0.4992
-12.3,0.5
-12.28,0.5008
-12.26,0.5016
-12.24,0.5016
-12.23,0.5023
-12.21,0.5031
-12.19,0.5039
-12.17,0.5047
-12.15,0.5055
-12.13,0.5063
-12.11,0.507
-12.09,0.5078
-12.08,0.5086
-12.06,0.5094
-12.04,0.5102
-12.02,0.5106
-12,0.5114
-11.98,0.5121
-11.96,0.5129
-11.94,0.5133
-11.92,0.5141
-11.91,0.5149
-11.89,0.5157
-11.87,0.5164
-11.85,0.5172
-11.83,0.518
-11.81,0.5188
-11.79,0.5196
-11.77,0.5204
-11.76,0.5211
-11.74,0.5219
-11.72,0.5227
-11.7,0.5231
-11.68,0.5239
-11.66,0.5247
-11.64,0.5255
-11.62,0.5262
-11.6,0.527
-11.59,0.5278
-11.57,0.5286
-11.55,0.5294
-11.53,0.5301
-11.51,0.5309
-11.49,0.5317
-11.47,0.5325
-11.45,0.5333
-11.44,0.5341
-11.42,0.5348
-11.4,0.5356
-11.38,0.5364
-11.36,0.5372
-11.34,0.538
-11.32,0.5388
-11.3,0.5392
-11.28,0.5399
-11.27,0.5407
-11.25,0.5415
-11.23,0.5423
-11.21,0.5431
-11.19,0.5439
-11.17,0.5446
-11.15,0.5454
-11.13,0.5462
-11.12,0.547
-11.1,0.5478
-11.08,0.5486
-11.06,0.5493
-11.04,0.5505
-11.02,0.5513
-11,0.5521
-10.98,0.5529
-10.96,0.5536
-10.95,0.5544
-10.93,0.5552
-10.91,0.556
-10.89,0.5568
-10.87,0.5576
-10.85,0.5583
-10.83,0.5591
-10.81,0.5599
-10.8,0.5607
-10.78,0.5615
-10.76,0.5623
-10.74,0.563
-10.72,0.5638
-10.7,0.5646
-10.68,0.5654
-10.66,0.5662
-10.64,0.567
-10.63,0.5677
-10.61,0.5685
-10.59,0.5693
-10.57,0.5701
-10.55,0.5709
-10.53,0.5717
-10.51,0.5724
-10.49,0.5732
-10.48,0.5744
-10.46,0.5752
-10.44,0.576
-10.42,0.5771
-10.4,0.5779
-10.38,0.5787
-10.36,0.5795
-10.34,0.5803
-10.32,0.581
-10.31,0.5818
-10.29,0.5826
-10.27,0.5834
-10.25,0.5842
-10.23,0.585
-10.21,0.5857
-10.19,0.5865
-10.17,0.5877
-10.16,0.5885
-10.14,0.5893
-10.12,0.5901
-10.1,0.5908
-10.08,0.592
-10.06,0.5928
-10.04,0.5936
-10.02,0.5944
-10,0.5951
-9.986,0.5959
-9.967,0.5967
-9.948,0.5975
-9.929,0.5983
-9.911,0.5995
-9.892,0.6002
-9.873,0.601
-9.854,0.6018
-9.835,0.6026
-9.816,0.6038
-9.798,0.6045
-9.779,0.6053
-9.76,0.6061
-9.741,0.6073
-9.722,0.6081
-9.704,0.6088
-9.685,0.6096
-9.666,0.6104
-9.647,0.6112
-9.628,0.6124
-9.609,0.6132
-9.591,0.6139
-9.572,0.6147
-9.553,0.6159
-9.534,0.6167
-9.515,0.6175
-9.496,0.6182
-9.478,0.619
-9.459,0.6198
-9.44,0.621
-9.421,0.6218
-9.402,0.6229
-9.384,0.6237
-9.365,0.6245
-9.346,0.6253
-9.327,0.6261
-9.308,0.6269
-9.289,0.6276
-9.271,0.6288
-9.252,0.63
-9.233,0.6308
-9.214,0.6316
-9.195,0.6323
-9.176,0.6331
-9.158,0.6339
-9.139,0.6347
-9.12,0.6359
-9.101,0.637
-9.082,0.6378
-9.064,0.6386
-9.045,0.6394
-9.026,0.6402
-9.007,0.641
-8.988,0.6425
-8.969,0.6433
-8.951,0.6441
-8.932,0.6449
-8.913,0.6457
-8.894,0.6464
-8.875,0.6472
-8.856,0.6488
-8.838,0.6496
-8.819,0.6504
-8.8,0.6511
-8.781,0.6519
-8.762,0.6527
-8.744,0.6539
-8.725,0.6551
-8.706,0.6558
-8.687,0.6566
-8.668,0.6574
-8.649,0.6582
-8.631,0.6594
-8.612,0.6605
-8.593,0.6613
-8.574,0.6621
-8.555,0.6629
-8.536,0.6637
-8.518,0.6648
-8.499,0.666
-8.48,0.6668
-8.461,0.6676
-8.442,0.6684
-8.424,0.6695
-8.405,0.6703
-8.386,0.6715
-8.367,0.6723
-8.348,0.6731
-8.329,0.6742
-8.311,0.675
-8.292,0.6762
-8.273,0.6774
-8.254,0.6782
-8.235,0.6789
-8.216,0.6797
-8.198,0.6809
-8.179,0.6821
-8.16,0.6829
-8.141,0.6836
-8.122,0.6852
-8.104,0.686
-8.085,0.6868
-8.066,0.6879
-8.047,0.6891
-8.028,0.6899
-8.009,0.6907
-7.991,0.6922
-7.972,0.693
-7.953,0.6938
-7.934,0.6946
-7.915,0.6962
-7.896,0.6969
-7.878,0.6977
-7.859,0.6993
-7.84,0.7001
-7.821,0.7009
-7.802,0.7016
-7.784,0.7032
-7.765,0.704
-7.746,0.7048
-7.727,0.7056
-7.708,0.7071
-7.689,0.7079
-7.671,0.7087
-7.652,0.7095
-7.633,0.711
-7.614,0.7118
-7.595,0.7126
-7.576,0.7134
-7.558,0.715
-7.539,0.7157
-7.52,0.7165
-7.501,0.7173
-7.482,0.7185
-7.464,0.7197
-7.445,0.7204
-7.426,0.7212
-7.407,0.7224
-7.388,0.7236
-7.369,0.7244
-7.351,0.7251
-7.332,0.7263
-7.313,0.7271
-7.294,0.7283
-7.275,0.7291
-7.256,0.7302
-7.238,0.731
-7.219,0.7322
-7.2,0.733
-7.181,0.7338
-7.162,0.7349
-7.144,0.7357
-7.125,0.7369
-7.106,0.7377
-7.087,0.7384
-7.068,0.7396
-7.049,0.7404
-7.031,0.7416
-7.012,0.7424
-6.993,0.7431
-6.974,0.7443
-6.955,0.7451
-6.936,0.7463
-6.918,0.7471
-6.899,0.7482
-6.88,0.749
-6.861,0.7498
-6.842,0.7506
-6.824,0.7518
-6.805,0.7525
-6.786,0.7537
-6.767,0.7545
-6.748,0.7553
-6.729,0.7561
-6.711,0.7572
-6.692,0.7584
-6.673,0.7592
-6.654,0.76
-6.635,0.7608
-6.616,0.7616
-6.598,0.7631
-6.579,0.7639
-6.56,0.7647
-6.541,0.7655
-6.522,0.7662
-6.504,0.767
-6.485,0.7682
-6.466,0.7694
-6.447,0.7702
-6.428,0.7709
-6.409,0.7717
-6.391,0.7725
-6.372,0.7733
-6.353,0.7749
-6.334,0.7756
-6.315,0.7764
-6.296,0.7772
-6.278,0.778
-6.259,0.7788
-6.24,0.7796
-6.221,0.7807
-6.202,0.7819
-6.184,0.7827
-6.165,0.7835
-6.146,0.7843
-6.127,0.785
-6.108,0.7858
-6.089,0.787
-6.071,0.7878
-6.052,0.7886
-6.033,0.7897
-6.014,0.7905
-5.995,0.7913
-5.976,0.7921
-5.958,0.7929
-5.939,0.7937
-5.92,0.7948
-5.901,0.7956
-5.882,0.7964
-5.864,0.7972
-5.845,0.7984
-5.826,0.7991
-5.807,0.7999
-5.788,0.8007
-5.769,0.8015
-5.751,0.8027
-5.732,0.8034
-5.713,0.8042
-5.694,0.805
-5.675,0.8058
-5.656,0.8066
-5.638,0.8074
-5.619,0.8085
-5.6,0.8093
-5.581,0.8101
-5.562,0.8109
-5.544,0.8117
-5.525,0.8128
-5.506,0.8136
-5.487,0.8144
-5.468,0.8152
-5.449,0.816
-5.431,0.8168
-5.412,0.8175
-5.393,0.8183
-5.374,0.8191
-5.355,0.8199
-5.336,0.8207
-5.318,0.8215
-5.299,0.8222
-5.28,0.823
-5.261,0.8238
-5.242,0.8246
-5.224,0.8254
-5.205,0.8262
-5.186,0.8273
-5.167,0.8281
-5.148,0.8289
-5.129,0.8297
-5.111,0.8309
-5.092,0.8316
